unique_id,a_hhid,resp_id.y,plot_id,district,pv_paddy,pv_visit_date,sc_manage_status,sc_manage_type,geometry,sc_burn_straw_stub,sc_burn_straw_ash,sc_burn_resid,sc_burn_stand_stub,sc_burn_grass,sc_burn_trees_burnt,sc_burn_realtime,sc_burn_change_any,burn_index
1102700181,10270018,102700181,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(74.7556020319461, 74.7554950788617, 74.7539105638861, 74.7540165111422, 74.7556020319461, 30.0629038883971, 30.062195282365, 30.0623522671855, 30.0630597114019, 30.0629038883971))",0,0,0,0,0,0,0,NA,0
1102700231,10270023,102700231,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(74.7449318692088, 74.7442794218659, 74.7444735467433, 74.7464603930711, 74.7449318692088, 30.0420219678741, 30.0419877201835, 30.0432621326246, 30.0431518447899, 30.0420219678741))",0,0,0,0,0,0,0,NA,0
1102700311,10230071,102700311,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Incorporated stubble into the soil,"list(c(74.7635413706302, 74.7629901766776, 74.7632399573922, 74.7638048976659, 74.7635413706302, 30.0264563336584, 30.0264992951195, 30.027794806649, 30.0277181736799, 30.0264563336584))",1,0,0,0,0,0,0,NA,1
1102700421,10270042,102700421,p1,Bathinda,Yes,12-Nov-19,Stubble managed,.d,"list(c(74.7459397092461, 74.7427954897284, 74.742950387299, 74.7440692037343, 74.7448634728789, 74.7460785135626, 74.7459397092461, 30.0283077235192, 30.0285712926726, 30.0297640214125, 30.0296572018039, 30.0296008892464, 30.0294908764775, 30.0283077235192))",0,0,0,0,1,0,0,NA,1
1102700651,10270065,102700651,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Created bales,"list(c(74.7449580207467, 74.7442864626646, 74.7443769872188, 74.7456735000014, 74.7449580207467, 30.0420129706006, 30.0419885908877, 30.0425832800307, 30.0424335197043, 30.0420129706006))",0,0,0,0,0,0,0,NA,0
1102700681,10270068,102700681,p1,Bathinda,Yes,12-Nov-19,Stubble managed,Burnt,"list(c(74.7620517387986, 74.7619672492146, 74.7598560154438, 74.7599401697516, 74.7598238289356, 74.7598499804735, 74.7620517387986, 30.0370974347684, 30.0363671654897, 30.0365921098991, 30.0371052714922, 30.0371308134026, 30.0373084455968, 30.0370974347684))",0,1,1,0,1,0,1,NA,3
1102700701,10270070,102700701,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Created bales,"list(c(74.7608279809355, 74.7626388072967, 74.7625704109668, 74.7606901824474, 74.7608279809355, 30.0595476857085, 30.0593709639456, 30.0584612336233, 30.0586231575266, 30.0595476857085))",0,0,0,0,0,0,0,NA,0
1102701011,10270101,102701011,p1,Bathinda,Yes,12-Nov-19,Stubble not managed,.s,"list(c(74.748074747622, 74.7485357522964, 74.7484019771218, 74.747929573059, 74.748074747622, 30.0676515920586, 30.0676048763676, 30.0662811592365, 30.0663330984931, 30.0676515920586))",0,0,0,0,0,0,1,NA,0
1102800011,10280001,102800011,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Burnt,"list(c(75.0865916535258, 75.085162371397, 75.0845417752861, 75.0859415531158, 75.0865916535258, 30.0587128249506, 30.0576141757696, 30.0582377898092, 30.0593114762534, 30.0587128249506))",0,0,0,0,0,0,0,NA,0
1102800461,10280046,102800461,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Burnt,"list(c(75.090611949563, 75.0929538533091, 75.0937796384096, 75.0914933905005, 75.090611949563, 30.05516088819, 30.0569496408973, 30.0560868996689, 30.0543390493764, 30.05516088819))",0,0,0,0,0,0,0,NA,0
1102800661,10280066,102800661,p1,Bathinda,Yes,10-Nov-19,Stubble managed,Burnt,"list(c(75.0972839444875, 75.098297484219, 75.0986662879586, 75.0985502824187, 75.0983913615345, 75.0982334464788, 75.0977536663413, 75.0972839444875, 30.0507857948834, 30.0515504924832, 30.0511656776549, 30.0507945011511, 30.0509123258996, 30.0509613711354, 30.0506459140764, 30.0507857948834))",0,0,0,0,0,0,0,NA,0
1102800801,10280080,102800801,p1,Bathinda,Yes,15-Nov-19,Stubble managed,Burnt,"list(c(75.0989797711372, 75.1003362983465, 75.1007758453488, 75.0994991138577, 75.0989797711372, 30.0469302940968, 30.0479692770904, 30.0475295970699, 30.0465176000623, 30.0469302940968))",1,1,1,1,1,1,0,NA,6
1102800921,10280092,102800921,p1,Bathinda,Yes,10-Nov-19,Stubble management ongoing,Used CRM machine,"list(c(75.0938262417912, 75.0932301208376, 75.094584301114, 75.0952655822038, 75.0938262417912, 30.0489545595537, 30.0501641653869, 30.0511482651839, 30.0497979187309, 30.0489545595537))",0,0,0,0,0,0,0,NA,0
1103400491,10340049,103400491,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(75.1379908248782, 75.1390194520354, 75.1389540731906, 75.1389031112194, 75.1391864195466, 75.1391901075839, 75.1376233622431, 75.1375683769583, 75.1368458569049, 75.1372066140174, 75.1373732462525, 75.1374681293964, 75.1375760883092, 75.1379908248782, 30.2775452083377, 30.2775483933017, 30.27641135458, 30.2758965412719, 30.2758713506751, 30.2753281587632, 30.2753634837017, 30.2759052276831, 30.2759170991104, 30.2764947436581, 30.2767104546599, 30.2769044493841, 30.2770674625648, 30.2775452083377
))",0,0,0,0,0,0,0,NA,0
1103400611,10340061,103400611,p1,Bathinda,Yes,11-Nov-19,Stubble managed,Used CRM machine,"list(c(75.1460002362728, 75.1453776285052, 75.1453494653105, 75.1452532410621, 75.1452193781733, 75.1452076435089, 75.1459066942334, 75.1460163295269, 75.1460002362728, 30.2922618235809, 30.2922650080672, 30.2922899049565, 30.2923475151762, 30.2923521471522, 30.2932979341672, 30.2933002501328, 30.2932976446715, 30.2922618235809))",1,1,1,1,1,0,0,NA,5
1103400641,10340064,103400641,p1,Bathinda,Yes,14-Nov-19,Stubble managed,Burnt,"list(c(75.141714066267, 75.1417331770062, 75.1427587866783, 75.1427165418863, 75.141714066267, 30.2807567577343, 30.2813103427185, 30.2813068683455, 30.2807651541826, 30.2807567577343))",0,0,0,0,0,0,0,NA,0
